step,time,a,epsilon_mean,residue_mean
6000,6.0,0.6199909995499775,0.0940668362804757,0.0733756972474575
6100,6.1000000000000005,0.6169908495424772,0.09355749051773549,0.07314366900041133
6200,6.2,0.6139906995349768,0.09304094567734103,0.07289989572314748
6300,6.3,0.6109905495274763,0.0925174439388757,0.07264487251036869
6400,6.4,0.607990399519976,0.09198722426303461,0.07237907025238072
6500,6.5,0.6049902495124756,0.09145052278343674,0.0721029373226792
6600,6.6000000000000005,0.6019900995049753,0.09090757314047526,0.07181690115663697
6700,6.7,0.5989899494974749,0.09035860676249671,0.07152136972647868
6800,6.8,0.5959897994899745,0.0898038530993226,0.07121673291762753
6900,6.9,0.5929896494824741,0.08924353981283425,0.070903363811399
7000,7.0,0.5899894994749737,0.08867789292904055,0.07058161987889713
7100,7.1000000000000005,0.5869893494674734,0.08810713695574715,0.07025184409084193
7200,7.2,0.5839891994599731,0.08753149496964735,0.06991436594792164
7300,7.3,0.5809890494524727,0.08695118867636334,0.06956950243612196
7400,7.4,0.5779888994449722,0.08636643844668568,0.06921755891133763
7500,7.5,0.5749887494374719,0.08577746333198805,0.06885882991741984
7600,7.6000000000000005,0.5719885994299715,0.08518448106153895,0.0684935999416578
7700,7.7,0.5689884494224711,0.08458770802418844,0.06812214411153528
7800,7.8,0.5659882994149708,0.08398735923668021,0.06774472883644342
7900,7.9,0.5629881494074704,0.08338364830062547,0.06736161239787243
8000,8.0,0.55998799939997,0.0827767873499765,0.06697304549144398
8100,8.1,0.5569878493924696,0.08216698699065264,0.0665792717239899
8200,8.2,0.5539876993849693,0.08155445623380055,0.06618052806872532
8300,8.3,0.5509875493774689,0.08093940242401333,0.065777045281411
8400,8.4,0.5479873993699684,0.0803220311636883,0.06536904828024967
8500,8.5,0.5449872493624681,0.07970254623457035,0.06495675649211383
8600,8.6,0.5419870993549678,0.07908114951740682,0.06454038416755917
8700,8.700000000000001,0.5389869493474674,0.07845804091052958,0.06412014066694025
8800,8.8,0.535986799339967,0.07783341824807913,0.06369623071980965
8900,8.9,0.5329866493324666,0.07720747721849486,0.0632688546596537
9000,9.0,0.5299864993249663,0.07658041128381385,0.06283820863589304
9100,9.1,0.5269863493174658,0.07595241160024521,0.062404484804957056
