turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
248,9905,0.9905,-1.9541056908312167e-05,0.0028515288133865086,5.3661236357320035e-05,0.002474107255874703,-0.001530896658365321,0.07071357850160015,-4.9235570781869725e-05,0.002197129851031845,0.00040517026583181034,0.0005675138525095864,1.0335662764178985e-06,1.0203659344848695e-06
249,9905,0.9905,-4.096386943377712e-06,0.0020855833302624717,5.885798364110224e-06,0.0021417536375698907,-0.0015407918567926638,0.07115433256340596,-4.947599213672406e-05,0.0022082121154347323,0.0004963612168733032,0.00047673592126511627,1.0339943509195369e-06,1.020982572405397e-06
250,9905,0.9905,1.1487397308491393e-05,0.002411058251592452,-4.209545577662344e-05,0.0031600116783856618,-0.001550735450164106,0.07159733238135449,-4.97179668572095e-05,0.002219363925891224,0.0005734081180312518,0.0003729736593954675,1.0344245801640658e-06,1.0216053204582737e-06
251,9905,0.9905,2.6655959757728886e-05,0.003509052477056472,-8.857113020833843e-05,0.004642301260581714,-0.0015607277506697252,0.07204259165995691,-4.996150252806692e-05,0.0022305856284236835,0.0006322641577641292,0.00026467570677123385,1.0348628922404473e-06,1.0222273327062272e-06
252,9905,0.9905,4.086999150629143e-05,0.0047883991739945285,-0.00013188370051874345,0.006135459459972032,-0.0015707690720262804,0.07249012417846273,-5.020660678278259e-05,0.0022418775712810452,0.0006702321891916333,0.00017287067436886055,1.0353149090204353e-06,1.02284261740564e-06
253,9905,0.9905,5.3624387618431764e-05,0.006012899697716382,-0.00017048862978179697,0.007482273474590533,-0.0015808597294870437,0.07293994379120601,-5.045328730382295e-05,0.002253240104948943,0.0006856807335043102,0.00015583638827317727,1.0357851444248717e-06,1.0234469307907934e-06
254,9905,0.9905,6.446619747285049e-05,0.00707943774620763,-0.00020300944777867935,0.008600861989910235,-0.0015910000398516172,0.07339206442795587,-5.0701551822871016e-05,0.0022646735821599067,0.0006779665706935075,0.00023246713686206886,1.0362763452661132e-06,1.0240384396350312e-06
255,9905,0.9905,7.301071072781808e-05,0.007927269862850151,-0.00022828682920105086,0.009437554623698153,-0.0016011903214758377,0.0738465000942712,-5.095140812106397e-05,0.0022761783579036284,0.0006474178492396356,0.00033901433850118976,1.036789069549466e-06,1.0246180491849114e-06
256,9905,0.9905,7.895510760774413e-05,0.008516042523405465,-0.000245419920944497,0.009956179931834251,-0.0016114308942816859,0.07430326487185955,-5.1202864029232536e-05,0.002287754789437297,0.0005953422256861735,0.00044533640070102613,1.0373215659702258e-06,1.0251893407037669e-06
257,9905,0.9905,8.208918918700336e-05,0.00881999160636113,-0.00025379844529789563,0.010135373209199444,-0.0016217220797673107,0.07476237291894017,-5.145592742814144e-05,0.0022994032362960064,0.0005240770047422445,0.0005407471667187189,1.0378699784550216e-06,1.0257581202847796e-06
258,9905,0.9905,8.23028074982881e-05,0.008826339119203868,-0.00025312443504660835,0.009967940029929274,-0.001632064201017056,0.07522383847061107,-5.171060624873183e-05,0.002311124060303229,0.0004371770665025554,0.0006195592503236934,1.0384288554548284e-06,1.0263316383386281e-06
259,9905,0.9905,7.958973291230891e-05,0.008534891842808983,-0.00024342282648307843,0.009460754348898414,-0.0016424575827115261,0.07568767583922019,-5.1966908472364675e-05,0.002322917625581362,0.000340093983516712,0.0006780216646011023,1.0389919004606703e-06,1.0269175878793708e-06
260,9905,0.9905,7.404782313018758e-05,0.007958039750355863,-0.00022504053385428128,0.00863486397447248,-0.0016529025511377395,0.07615389941474066,-5.2224842131066073e-05,0.002334784298562348,0.00024281948304420142,0.0007136156212107248,1.0395528635800907e-06,1.0275230221273512e-06
261,9905,0.9905,6.587548977869166e-05,0.007121145300772006,-0.00019863403968695635,0.00752611844370715,-0.0016633994341992793,0.07662252366514988,-5.248441530777378e-05,0.002346724447998359,0.00017041485295316472,0.0007248769465005089,1.0401064497164044e-06,1.0281533439393087e-06
262,9905,0.9905,5.536459031438594e-05,0.006064091284507538,-0.00016514594505899553,0.00618779829025811,-0.001673948561426589,0.07709356313681284,-5.274563613658542e-05,0.00235873844497256,0.00017359191161328498,0.0007113543924498702,1.040649111704974e-06,1.0288115104639888e-06
263,9905,0.9905,4.289000003910673e-05,0.004846848570937644,-0.00012577131761703508,0.0047009902213337755,-0.0016845502639871888,0.07756703245486903,-5.3008512803007995e-05,0.0023708266629099387,0.00024915369391144827,0.0006736033747999561,1.0411796092377527e-06,1.0294975682579585e-06
264,9905,0.9905,2.88962369864072e-05,0.003570372853385608,-8.191503893366124e-05,0.0032196310886553644,-0.0016952048746960212,0.07804294632362356,-5.327305354420924e-05,0.002382989477588209,0.00034690061215539845,0.0006131948407486287,1.0416992458395098e-06,1.030208590779199e-06
