particle_id,gap,time_s,phase_rad,energy_ev
8910,rf_gap_16,5.707800000002524e-08,4.182088140490443,1002438.1622238901
1422,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1008434.2499782983
3450,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1006661.2231220057
3682,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1003849.5155824464
4537,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1008294.2058757222
6404,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1004705.8964453018
7346,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1014204.7358818261
7355,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1012299.0288423394
8262,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1003354.4667338434
9093,rf_gap_16,5.7080000000025244e-08,4.184601414613319,1006267.0161884059
1942,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1005937.846011238
2617,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1014040.7988429267
2695,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1003344.2263200484
3970,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1009780.3925936043
5109,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1008114.5025356087
6677,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1009648.6585317197
7005,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1006561.5536244913
7723,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1013651.8263704862
8235,rf_gap_16,5.708200000002525e-08,4.1871146887361945,1009257.3430203856
9,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1006585.1500598515
788,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1006426.9583981396
1899,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1008713.5609040468
2697,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1015177.9518310502
3866,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1005903.8333683464
3988,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1014845.6163566052
4568,rf_gap_16,5.708400000002525e-08,4.1896279628590705,1012273.2577543552
