id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
7001,True,,1.020197465268657,0.000721525496262475,0.0016186502935170168,0.0019929749956648676,0.0007759201171591886,0.045686195429242994,13696354.759038039,22169.608650830112,10627.277189286606,2.2932768709719862e-20,3.7120132803145914e-23,1.779399658403041e-23,980729.621830966
7002,True,,1.0276148793730544,-0.00029466233848645453,0.0017148891245034774,-0.0005784318742212705,-0.0008180840771713277,0.04587278468348038,13752290.051973492,23583.652647146704,-11250.529516161163,2.302662220393869e-20,3.9488103991584754e-23,-1.8837712976081986e-23,988769.5669016558
7003,True,,1.0127709038470196,0.0002979910294763228,0.001508611668096478,0.0004995858240263695,0.0030149155629234487,0.0454238896463169,13617662.14258922,20543.764000505784,41056.10152432572,2.2800735112960034e-20,3.439745503258858e-23,6.874229113815835e-23,969482.8872222782
7004,True,,1.0203977528671326,-0.0016345694478109216,0.0007231619210691854,0.0010217477247607117,0.0015603516973010025,0.04571575372443403,13705217.91069432,9911.091712969512,21384.96002883198,2.294763997053817e-20,1.6594859405098408e-23,3.580638897708156e-23,982001.0611891864
7005,True,,1.025623368710863,0.0008250186577101463,0.0026482062670609187,-0.000999861847713135,0.0009454051455034805,0.045779928046689095,13724422.898240827,36345.102730915736,12975.140027062671,2.2979863880060486e-20,6.085541954338301e-23,2.1725281555178762e-23,984764.3450383234
7006,True,,1.0163672054253918,0.0003977028539345161,-0.001754178469966286,0.0004661347493785832,0.001410871928795322,0.045601983702493895,13671096.143371861,-23981.542515542045,19288.165784545345,2.2890388266328034e-20,-4.0153826265961537e-23,3.229540624418804e-23,977111.8219676125
7007,True,,1.0180403588832145,0.0002486614299908287,-0.00012306142734428444,-0.0002895287927825432,-0.0019278681858679455,0.045578940053034284,13664196.975396782,-1681.5355833057822,-26342.77063430046,2.287881246344953e-20,-2.8154993176943035e-24,-4.4107334678723384e-23,976123.0196545502
7008,True,,1.026101878556286,0.0002741634899574961,0.0012749728623325108,0.00022041718673313786,-0.0003686954666008741,0.045850463083471044,13745610.921844527,17525.28090153314,-5067.944432543539,2.3015415160875825e-20,2.9344029745432916e-23,-8.485679231751943e-24,987806.0148957333
7009,True,,1.0192420781649782,-0.0007889898729972533,-0.0007997805304245453,-0.00033536235742656357,-7.464245797063009e-06,0.04554233588014241,13653244.449548462,-10919.599087875848,-101.91117249881596,2.2860435766235132e-20,-1.828333144285578e-23,-1.7063591158714947e-25,974553.3695918003
7010,True,,1.025867445717542,-0.0008182805266508671,0.00019980014938833266,0.00021040705331936611,-0.0031254963066114686,0.04586944236067002,13751245.432002032,2747.5008915896333,-42979.466809030186,2.3024869570855334e-20,4.6003723799037705e-24,-7.196414480391914e-23,988625.2594844043
