step,time,active_area,total_signal,max_signal,delta_recouple_events,outside_activation_events,pending_outside_activations,outside_activation_no_recouple_total,outside_activation_events_total,outside_activation_no_recouple_fraction,signal_outside_domain_fraction
26,2.6,20.728982367144184,154.58106367652226,4.800206481610562,0,0,72,0,72,0.0,0.23535461029820856
27,2.7,20.76577268489916,160.22648261284576,4.950145822531612,0,0,72,0,72,0.0,0.23900729125676787
28,2.8000000000000003,20.82205184191102,165.86625613023293,5.098334672561669,0,0,72,0,72,0.0,0.24261028692523479
29,2.9000000000000004,20.89708006324389,171.5003898741027,5.2447690905012605,0,0,72,0,72,0.0,0.24617266409311261
30,3.0,20.990123593255642,177.12888948422858,5.3894424634741505,0,0,72,0,72,0.0,0.2497024170201814
31,3.1,21.10045522805148,182.75176059474435,5.532346133560697,0,0,72,0,72,0.0,0.2532065843306726
32,3.2,21.227354854758694,188.3690088341496,5.673469978435022,0,0,72,0,72,0.0,0.2566913501948942
33,3.3000000000000003,21.370110084736154,193.98063982531548,5.812802945414186,0,0,72,0,72,0.0,0.26016213252931336
34,3.4000000000000004,21.528017042627418,199.58665918549013,5.950333538512455,0,0,72,0,72,0.0,0.26362366045113345
35,3.5,21.70038134922197,205.18707252630463,6.086050258157015,0,0,72,0,72,0.0,0.2670800428187291
36,3.6,21.886519313582326,210.78188545377833,6.219941993257256,0,0,72,0,72,0.0,0.27053482935450324
37,3.7,22.085759329100796,216.3711035683246,6.3519983653908305,0,0,72,0,72,0.0,0.2739910655665078
38,3.8000000000000003,22.297443449421124,221.95473246475626,6.482210025015224,0,8,80,0,80,0.0,0.2774513794646582
39,3.9000000000000004,22.52092910390041,227.53277773229144,6.6105688998538445,0,0,80,0,80,0.0,0.28091788641299864
40,4.0,22.75559089891189,233.10524495455923,6.737068395946062,0,4,84,0,84,0.0,0.28439245049982026
41,4.1000000000000005,23.00082244118908,238.67213970960466,6.861703552284809,0,0,84,0,84,0.0,0.2878765209349357
42,4.2,23.256038112909955,244.23346756989505,6.984471150477877,0,0,84,0,84,0.0,0.2913713034133901
43,4.3,23.520674725533034,249.78923410232514,7.105369781437745,0,8,92,0,92,0.0,0.29487776079665484
44,4.4,23.794192980610454,255.33944486822278,7.2243998717030795,0,0,92,0,92,0.0,0.2983965217045266
45,4.5,24.07607867084274,260.88410542335464,7.34156367259413,8,0,84,0,92,0.0,0.17633201135371457
46,4.6000000000000005,24.3658435632681,266.4232213179312,7.4568652159747275,0,0,84,0,92,0.0,0.17962537336695367
47,4.7,24.663025918294778,271.95679809661334,7.570310240907536,0,0,84,0,92,0.0,0.18296629534664907
48,4.800000000000001,24.967190612736452,277.4848412985167,7.681906095921038,0,0,84,0,92,0.0,0.18635472731088754
49,4.9,25.277928851419823,283.0073564572182,7.791661621935023,0,0,84,0,92,0.0,0.18979038040196816
50,5.0,25.59485746952862,288.5243491007609,7.899587021098715,0,0,72,12,92,0.13043478260869565,0.19327273005156528
51,5.1000000000000005,25.91761784579655,294.0358247516602,8.005693716870173,0,0,48,36,92,0.391304347826087,0.19680102041203396
52,5.2,26.24587446411242,299.54178892690857,8.109994210600213,0,0,48,36,92,0.391304347826087,0.20037427019603904
53,5.300000000000001,26.579313177221586,305.04224713798163,8.212501939677292,0,0,48,36,92,0.391304347826087,0.20399128002388178
54,5.4,26.91763924022198,310.5372048908436,8.313231141945185,0,0,48,36,92,0.391304347826087,0.2076506413278393
55,5.5,27.260575192774724,316.0266676859528,8.412196730631479,0,0,48,36,92,0.391304347826087,0.21135074680664195
