mechanism,resolution_param,forcing_s,seed,alignment_success_rate,epsilon_max,residue_max,output_dir
pde_reaction_diffusion,256,0.05,42,0.33984375,0.2926829219853604,0.04889322365034625,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.05_seed_42
pde_reaction_diffusion,256,0.05,43,0.33984375,0.2926829219853604,0.04889322365034625,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.05_seed_43
pde_reaction_diffusion,256,0.05,44,0.33984375,0.2926829219853604,0.04889322365034625,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.05_seed_44
pde_reaction_diffusion,256,0.08,42,0.35546875,0.2976808763324286,0.049490440948627375,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.08_seed_42
pde_reaction_diffusion,256,0.08,43,0.35546875,0.2976808763324286,0.049490440948627375,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.08_seed_43
pde_reaction_diffusion,256,0.08,44,0.35546875,0.2976808763324286,0.049490440948627375,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.08_seed_44
pde_reaction_diffusion,256,0.1,42,0.36328125,0.30100318041427304,0.04988804957336345,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.1_seed_42
pde_reaction_diffusion,256,0.1,43,0.36328125,0.30100318041427304,0.04988804957336345,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.1_seed_43
pde_reaction_diffusion,256,0.1,44,0.36328125,0.30100318041427304,0.04988804957336345,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.1_seed_44
pde_reaction_diffusion,256,0.12,42,0.37109375,0.30431778284812433,0.05028523019713361,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.12_seed_42
pde_reaction_diffusion,256,0.12,43,0.37109375,0.30431778284812433,0.05028523019713361,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.12_seed_43
pde_reaction_diffusion,256,0.12,44,0.37109375,0.30431778284812433,0.05028523019713361,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.12_seed_44
pde_reaction_diffusion,256,0.15,42,0.39453125,0.30927531151082865,0.05088020147878091,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.15_seed_42
pde_reaction_diffusion,256,0.15,43,0.39453125,0.30927531151082865,0.05088020147878091,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.15_seed_43
pde_reaction_diffusion,256,0.15,44,0.39453125,0.30927531151082865,0.05088020147878091,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_256_s_0.15_seed_44
pde_reaction_diffusion,512,0.05,42,0.337890625,0.29268064961690643,0.04889292204376254,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.05_seed_42
pde_reaction_diffusion,512,0.05,43,0.337890625,0.29268064961690643,0.04889292204376254,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.05_seed_43
pde_reaction_diffusion,512,0.05,44,0.337890625,0.29268064961690643,0.04889292204376254,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.05_seed_44
pde_reaction_diffusion,512,0.08,42,0.353515625,0.2976786132866958,0.049490139888875434,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.08_seed_42
pde_reaction_diffusion,512,0.08,43,0.353515625,0.2976786132866958,0.049490139888875434,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.08_seed_43
pde_reaction_diffusion,512,0.08,44,0.353515625,0.2976786132866958,0.049490139888875434,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.08_seed_44
pde_reaction_diffusion,512,0.1,42,0.361328125,0.30100092355444197,0.04988774887703393,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.1_seed_42
pde_reaction_diffusion,512,0.1,43,0.361328125,0.30100092355444197,0.04988774887703393,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.1_seed_43
pde_reaction_diffusion,512,0.1,44,0.361328125,0.30100092355444197,0.04988774887703393,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.1_seed_44
pde_reaction_diffusion,512,0.12,42,0.373046875,0.3043155321509277,0.05028492986332471,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.12_seed_42
pde_reaction_diffusion,512,0.12,43,0.373046875,0.3043155321509277,0.05028492986332471,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.12_seed_43
pde_reaction_diffusion,512,0.12,44,0.373046875,0.3043155321509277,0.05028492986332471,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.12_seed_44
pde_reaction_diffusion,512,0.15,42,0.392578125,0.3092730700142148,0.05087990168706941,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.15_seed_42
pde_reaction_diffusion,512,0.15,43,0.392578125,0.3092730700142148,0.05087990168706941,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.15_seed_43
pde_reaction_diffusion,512,0.15,44,0.392578125,0.3092730700142148,0.05087990168706941,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_512_s_0.15_seed_44
