s,kappa,seed,active_fraction
0.1,0.2,200,0.35546875
0.1,0.2,201,0.35546875
0.1,0.2,202,0.35546875
0.1,0.2,203,0.35546875
0.1,0.2,204,0.35546875
0.1,0.2,205,0.35546875
0.1,0.2,206,0.35546875
0.1,0.2,207,0.35546875
0.05,1.0,200,0.33203125
0.05,1.0,201,0.33203125
0.05,1.0,202,0.33203125
0.05,1.0,203,0.33203125
0.05,1.0,204,0.33203125
0.05,1.0,205,0.33203125
0.05,1.0,206,0.33203125
0.05,1.0,207,0.33203125
0.05,0.8,200,0.33203125
0.05,0.8,201,0.33203125
0.05,0.8,202,0.33203125
0.05,0.8,203,0.33203125
0.05,0.8,204,0.33203125
0.05,0.8,205,0.33203125
0.05,0.8,206,0.33203125
0.05,0.8,207,0.33203125
0.05,0.6,200,0.33203125
0.05,0.6,201,0.33203125
0.05,0.6,202,0.33203125
0.05,0.6,203,0.33203125
0.05,0.6,204,0.33203125
0.05,0.6,205,0.33203125
0.05,0.6,206,0.33203125
0.05,0.6,207,0.33203125
0.05,0.4,200,0.33203125
0.05,0.4,201,0.33203125
0.05,0.4,202,0.33203125
0.05,0.4,203,0.33203125
0.05,0.4,204,0.33203125
0.05,0.4,205,0.33203125
0.05,0.4,206,0.33203125
0.05,0.4,207,0.33203125
0.05,0.2,200,0.33203125
0.05,0.2,201,0.33203125
0.05,0.2,202,0.33203125
0.05,0.2,203,0.33203125
0.05,0.2,204,0.33203125
0.05,0.2,205,0.33203125
0.05,0.2,206,0.33203125
0.05,0.2,207,0.33203125
0.01,1.0,200,0.31640625
0.01,1.0,201,0.31640625
0.01,1.0,202,0.31640625
0.01,1.0,203,0.31640625
0.01,1.0,204,0.31640625
0.01,1.0,205,0.31640625
0.01,1.0,206,0.31640625
0.01,1.0,207,0.31640625
0.01,0.8,200,0.31640625
0.01,0.8,201,0.31640625
0.01,0.8,202,0.31640625
0.01,0.8,203,0.31640625
0.01,0.8,204,0.31640625
0.01,0.8,205,0.31640625
0.01,0.8,206,0.31640625
0.01,0.8,207,0.31640625
0.01,0.6,200,0.31640625
0.01,0.6,201,0.31640625
0.01,0.6,202,0.31640625
0.01,0.6,203,0.31640625
0.01,0.6,204,0.31640625
0.01,0.6,205,0.31640625
0.01,0.6,206,0.31640625
0.01,0.6,207,0.31640625
0.01,0.4,200,0.31640625
0.01,0.4,201,0.31640625
0.01,0.4,202,0.31640625
0.01,0.4,203,0.31640625
0.01,0.4,204,0.31640625
0.01,0.4,205,0.31640625
0.01,0.4,206,0.31640625
0.01,0.4,207,0.31640625
0.01,0.2,200,0.31640625
0.01,0.2,201,0.31640625
0.01,0.2,202,0.31640625
0.01,0.2,203,0.31640625
0.01,0.2,204,0.31640625
0.01,0.2,205,0.31640625
0.01,0.2,206,0.31640625
0.01,0.2,207,0.31640625
