t,phase_error,continuation_mismatch,input_signal
37,0.8214294910430908,0.02032649517059326,-0.7219286289931748
38,0.6508617401123047,0.12389516830444336,-0.6197567150519603
39,0.4491586685180664,0.3777163624763489,-0.36517090821085557
40,0.23946070671081543,0.0053986310958862305,0.07733118377282958
41,0.1483445167541504,0.056845128536224365,0.48343747335158566
42,0.08383405208587646,0.035860538482666016,0.7262892057750638
43,0.055471181869506836,0.007115364074707031,0.6479795624719134
44,0.04185444116592407,0.0005568861961364746,0.35673516644320874
45,0.06036478281021118,0.011053860187530518,-0.12774033308058616
46,0.03222489356994629,0.05169868469238281,-0.4921022956004645
47,0.028190672397613525,0.04291999340057373,-0.763600846636975
48,0.029890894889831543,0.09351205825805664,-0.7068916604411928
49,0.03519177436828613,0.10877180099487305,-0.36944749255265774
50,0.03939962387084961,0.0965038537979126,0.11514251124982496
51,0.03510129451751709,0.09553861618041992,0.5587371906171265
52,0.03912806510925293,0.004178285598754883,0.8048859495061444
53,0.04845309257507324,0.001554727554321289,0.7114900334374524
54,0.06653982400894165,0.0006291866302490234,0.356179520787633
55,0.10349321365356445,0.09776806831359863,-0.1471738143157814
56,0.19590264558792114,0.001201033592224121,-0.5943920723890821
57,0.39895617961883545,0.1849966049194336,-0.783922095075544
58,0.7006909847259521,0.2822307348251343,-0.747570445253295
59,0.9627591967582703,0.0035486221313476562,-0.33706321120007876
60,1.1343326568603516,0.0057149529457092285,0.15569383054957184
61,1.2553880214691162,0.007164895534515381,0.605937583540626
62,1.3259854316711426,0.003603219985961914,0.8362457148652325
63,1.3880417346954346,0.006640136241912842,0.7650927407648329
64,1.4351165294647217,0.6724661588668823,0.36206440033131015
65,1.4549839496612549,0.0027366280555725098,-0.14963482167007078
66,1.51589035987854,0.01446080207824707,-0.6423730595239767
67,1.557773470878601,0.0036033987998962402,-0.8374077130258462
68,1.593482494354248,0.004513382911682129,-0.7082975887083244
69,1.6245121955871582,0.003546595573425293,-0.3474097145164309
70,1.6448934078216553,0.0028147101402282715,0.2166740013313222
71,1.6943472623825073,0.01119542121887207,0.6331743340412982
72,1.733485460281372,0.0055626630783081055,0.86526175395897
