step,active_fraction,mean_mismatch,mean_residue,admissible_cells,activation_events,activation_fraction_of_admissible,inadmissible_update_count,inadmissible_update_fraction,inadmissible_activation_count,inadmissible_activation_fraction,traceability_failure_count,traceability_failure_fraction,trace_depth_mean
27,0.011474609375,0.018652545345416962,0.10753363835240862,47,0,0.0,0,0.0,0,0.0,0,0.0,0.0
28,0.00830078125,0.01860827375672392,0.10687334103138454,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
29,0.0068359375,0.01859277118250453,0.10614640449607067,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
30,0.008544921875,0.018570370008514102,0.10551218654485997,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
31,0.00830078125,0.01857212456065868,0.10487210374191139,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
32,0.0087890625,0.01858302251925073,0.10426283582949228,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
33,0.0087890625,0.018591203325498726,0.10365966059619737,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
34,0.00830078125,0.018590363999949466,0.10303810305273538,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
35,0.0078125,0.01858642551318416,0.10239834702220804,32,0,0.0,0,0.0,0,0.0,0,0.0,0.0
36,0.00927734375,0.018580301758894996,0.10183823073948595,38,0,0.0,0,0.0,0,0.0,0,0.0,0.0
37,0.006591796875,0.01857722824577062,0.1011494382758411,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
38,0.006591796875,0.01856725102043626,0.10046753373683268,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
39,0.009765625,0.018550030965614348,0.09995113964946437,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
40,0.014404296875,0.018546786969417216,0.09967184309671971,59,0,0.0,0,0.0,0,0.0,0,0.0,0.0
41,0.008056640625,0.018518695879928403,0.09907795669700248,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
42,0.00732421875,0.018496692344982094,0.09845338806753248,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0
43,0.01025390625,0.01850735957240899,0.09798154949935715,42,0,0.0,0,0.0,0,0.0,0,0.0,0.0
44,0.01025390625,0.018504551989768508,0.0975144293168636,42,0,0.0,0,0.0,0,0.0,0,0.0,0.0
45,0.010009765625,0.01851644638494813,0.09703977330494497,41,0,0.0,0,0.0,0,0.0,0,0.0,0.0
46,0.009765625,0.018523818320474054,0.0965576568218955,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
47,0.009765625,0.018524362832584178,0.09608036150367655,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
48,0.01025390625,0.018501374362905144,0.09563225320113977,42,0,0.0,0,0.0,0,0.0,0,0.0,0.0
49,0.011474609375,0.01849688579440267,0.0952496611378784,47,0,0.0,0,0.0,0,0.0,0,0.0,0.0
50,0.009765625,0.01850853877238412,0.09478544577649961,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
51,0.011962890625,0.01851272631701464,0.0944357358499846,49,0,0.0,0,0.0,0,0.0,0,0.0,0.0
52,0.01123046875,0.01849124207626058,0.09405290192898476,46,0,0.0,0,0.0,0,0.0,0,0.0,0.0
53,0.0087890625,0.018479125803073017,0.09355182603469492,36,0,0.0,0,0.0,0,0.0,0,0.0,0.0
