step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
78,3.9000000000000004,0.12601901083022576,234,9.36,68,0,0.0,0,0.0,0,0.0,0.0
79,3.95,0.12572263267432807,234,9.36,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
80,4.0,0.1254013565772026,235,9.4,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
81,4.05,0.12508424948005478,239,9.56,66,4,0.06060606060606061,0,0.0,0,0.0,0.0
82,4.1000000000000005,0.124779606374776,240,9.6,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
83,4.15,0.12448911425470005,242,9.68,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
84,4.2,0.1242028246769766,242,9.68,61,0,0.0,0,0.0,0,0.0,0.0
85,4.25,0.12392184993045004,243,9.72,66,1,0.015151515151515152,0,0.0,0,0.0,0.0
86,4.3,0.12364653630149332,245,9.8,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
87,4.3500000000000005,0.12337822290505626,249,9.96,65,4,0.06153846153846154,0,0.0,0,0.0,0.0
88,4.4,0.12311202403353921,249,9.96,64,1,0.015625,0,0.0,0,0.0,0.0
89,4.45,0.12289079697637018,249,9.96,64,0,0.0,0,0.0,0,0.0,0.0
90,4.5,0.12267645971845119,248,9.92,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
91,4.55,0.12248987033203396,248,9.92,65,0,0.0,0,0.0,0,0.0,0.0
92,4.6000000000000005,0.12231053577121292,247,9.88,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
93,4.65,0.12213928311927601,246,9.84,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
94,4.7,0.12193794592121115,248,9.92,64,2,0.03125,0,0.0,0,0.0,0.0
95,4.75,0.12174316025749979,248,9.92,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
96,4.800000000000001,0.12159029540013241,246,9.84,62,0,0.0,0,0.0,0,0.0,0.0
97,4.8500000000000005,0.12140329948670296,247,9.88,63,2,0.031746031746031744,0,0.0,0,0.0,0.0
98,4.9,0.12129238691415191,246,9.84,64,0,0.0,0,0.0,0,0.0,0.0
99,4.95,0.12120147245434397,248,9.92,64,2,0.03125,0,0.0,0,0.0,0.0
100,5.0,0.12112534628909437,249,9.96,64,2,0.03125,0,0.0,0,0.0,0.0
101,5.050000000000001,0.12107783568100473,249,9.96,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
102,5.1000000000000005,0.1210699301327706,247,9.88,60,0,0.0,0,0.0,0,0.0,0.0
103,5.15,0.12108990239572684,247,9.88,61,0,0.0,0,0.0,0,0.0,0.0
104,5.2,0.12112014404479639,247,9.88,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
105,5.25,0.12118300820800455,244,9.76,63,0,0.0,0,0.0,0,0.0,0.0
106,5.300000000000001,0.12121426110196903,245,9.8,65,2,0.03076923076923077,0,0.0,0,0.0,0.0
107,5.3500000000000005,0.12120369531554348,245,9.8,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
108,5.4,0.1212099254236403,244,9.76,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
109,5.45,0.12119222742361473,246,9.84,68,2,0.029411764705882353,0,0.0,0,0.0,0.0
110,5.5,0.12120112152121679,246,9.84,66,1,0.015151515151515152,0,0.0,0,0.0,0.0
111,5.550000000000001,0.12122540313409164,249,9.96,66,3,0.045454545454545456,0,0.0,0,0.0,0.0
112,5.6000000000000005,0.12125031570201215,249,9.96,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
113,5.65,0.1212962610505371,249,9.96,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
114,5.7,0.12129217309122275,249,9.96,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
115,5.75,0.12131193851696488,250,10.0,64,1,0.015625,0,0.0,0,0.0,0.0
116,5.800000000000001,0.12133397612251164,250,10.0,67,3,0.04477611940298507,0,0.0,0,0.0,0.0
117,5.8500000000000005,0.12151081148021765,249,9.96,64,0,0.0,0,0.0,0,0.0,0.0
118,5.9,0.12170241605696536,250,10.0,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
119,5.95,0.12190032639363033,250,10.0,68,0,0.0,0,0.0,0,0.0,0.0
120,6.0,0.12210410749671292,250,10.0,68,0,0.0,0,0.0,0,0.0,0.0
121,6.050000000000001,0.12231377595065424,251,10.04,71,3,0.04225352112676056,0,0.0,0,0.0,0.0
122,6.1000000000000005,0.12254995710959417,248,9.92,68,1,0.014705882352941176,0,0.0,0,0.0,0.0
123,6.15,0.12282503190040227,246,9.84,68,0,0.0,0,0.0,0,0.0,0.0
124,6.2,0.12313765009685922,243,9.72,70,0,0.0,0,0.0,0,0.0,0.0
125,6.25,0.1234693559143157,244,9.76,69,1,0.014492753623188406,0,0.0,0,0.0,0.0
126,6.300000000000001,0.12380860184977813,245,9.8,69,1,0.014492753623188406,0,0.0,0,0.0,0.0
127,6.3500000000000005,0.12415407323548022,246,9.84,69,1,0.014492753623188406,0,0.0,0,0.0,0.0
128,6.4,0.12450552715930112,246,9.84,72,1,0.013888888888888888,0,0.0,0,0.0,0.0
129,6.45,0.12487684901920881,248,9.92,71,3,0.04225352112676056,0,0.0,0,0.0,0.0
130,6.5,0.12520467088832157,250,10.0,69,3,0.043478260869565216,0,0.0,0,0.0,0.0
