"anchor_label","focus","seed","drive","steps","regime","mean_output","mean_abs_output","mean_total_activation","mean_forward_channel","mean_reverse_channel","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_admissibility","mean_residue","mean_tension","mean_barrier_scaffold","corridor_edge_fraction","coexistence_edge_fraction","barrier_edge_fraction","dual_active_node_fraction","output_interface_count"
"split_center","split_center","20404","0.24","32768","split_coexistence_candidate","0.641728","1.236782","1.236782","0.939255","0.297527","1","0","0.031769","0.967226","0.885744","0.077512","0.053973","0.8125","0","0","0","12"
"split_center","split_center","20405","0.24","32768","split_coexistence_candidate","0.073802","1.288489","1.288489","0.681145","0.607344","1","0","0.026602","0.973572","0.904798","0.065116","0.045564","0.84375","0","0","0","10"
"split_center","split_center","20406","0.24","32768","split_coexistence_candidate","-0.149335","1.235441","1.235441","0.543053","0.692388","1","0","0.031889","0.967475","0.885751","0.07783","0.054233","0.8125","0","0","0","12"
"split_center","split_center","20407","0.24","32768","split_coexistence_candidate","-0.521617","1.203524","1.203524","0.340953","0.86257","1","0","0.033381","0.956583","0.860248","0.080674","0.055553","0.796875","0","0","0","14"
"split_center","split_center","20408","0.24","32768","split_coexistence_candidate","0.389294","1.187656","1.187656","0.788475","0.399181","1","0","0.036143","0.960385","0.865161","0.087982","0.061013","0.78125","0","0","0","14"
"barrier_lock","barrier_lock","20401","0.25","32768","scaffold_lock_candidate","-0.026305","0.674708","0.674708","0.324201","0.350507","1","0","0.007013","0.787792","0.697293","0.056324","0.446251","0.109375","0","0.765625","0","16"
"barrier_lock","barrier_lock","20402","0.25","32768","scaffold_lock_candidate","0.069647","0.626278","0.626278","0.347963","0.278316","1","0","0.006271","0.780912","0.703089","0.061403","0.486299","0.070312","0","0.84375","0","16"
"barrier_lock","barrier_lock","20403","0.25","32768","scaffold_lock_candidate","0.126692","0.91669","0.91669","0.521691","0.394999","1","0","0.005316","0.870955","0.813308","0.047492","0.355294","0.289062","0","0.625","0","10"
"barrier_lock","barrier_lock","20404","0.25","32768","scaffold_lock_candidate","0.232506","0.573137","0.573137","0.402821","0.170315","1","0","0.008578","0.729888","0.675655","0.07186","0.570365","0.023438","0","0.929688","0","16"
"barrier_lock","barrier_lock","20405","0.25","32768","scaffold_lock_candidate","0.00866","0.645738","0.645738","0.327199","0.318539","1","0","0.008476","0.751602","0.718432","0.072226","0.548317","0.054688","0","0.867188","0","12"
"barrier_lock","barrier_lock","20406","0.25","32768","scaffold_lock_candidate","-0.032501","0.751351","0.751351","0.359425","0.391926","1","0","0.00681","0.804656","0.736052","0.054597","0.433283","0.179688","0","0.757812","0","14"
"barrier_lock","barrier_lock","20407","0.25","32768","scaffold_lock_candidate","-0.187982","0.557076","0.557076","0.184547","0.372529","1","0","0.008341","0.724058","0.631176","0.06545","0.554655","0.070312","0","0.867188","0","20"
"barrier_lock","barrier_lock","20408","0.25","32768","scaffold_lock_candidate","0.20661","0.765382","0.765382","0.485996","0.279386","1","0","0.00647","0.810086","0.713239","0.046639","0.396007","0.226562","0","0.71875","0","16"
