theorem_id,N,R_base,frag_injection,identity_similarity,identity_drift_rate,identity_collapse_rate,persistence_status
T002,1024,0.5,0.1,0.9999570840182572,4.2915981742985834e-05,0.0,stable
T002,1024,0.5,0.25,0.9999586523725855,4.134762741455045e-05,0.43333333333333335,unstable
T002,2048,0.1,0.0,0.0,1.0,1.0,unstable
T002,2048,0.1,0.1,0.0,1.0,1.0,unstable
T002,2048,0.1,0.25,0.0,1.0,1.0,unstable
T002,2048,0.25,0.0,0.9999472705929331,5.27294070668353e-05,0.0,stable
T002,2048,0.25,0.1,0.9999509648340129,4.9035165987339664e-05,0.0,stable
T002,2048,0.25,0.25,0.9999517016144098,4.8298385590290265e-05,0.4,unstable
T002,2048,0.5,0.0,0.999953159744213,4.684025578695443e-05,0.0,stable
T002,2048,0.5,0.1,0.9999553233083536,4.467669164637626e-05,0.0,stable
T002,2048,0.5,0.25,0.9999555440354023,4.445596459747477e-05,0.0,stable
T003,512,0.1,0.0,0.0,1.0,1.0,unstable
T003,512,0.1,0.1,0.0,1.0,1.0,unstable
T003,512,0.1,0.25,0.0,1.0,1.0,unstable
T003,512,0.25,0.0,0.0,1.0,1.0,unstable
T003,512,0.25,0.1,0.0,1.0,1.0,unstable
T003,512,0.25,0.25,0.0,1.0,1.0,unstable
T003,512,0.5,0.0,0.0,1.0,1.0,unstable
T003,512,0.5,0.1,0.0,1.0,1.0,unstable
T003,512,0.5,0.25,0.0,1.0,1.0,unstable
T003,1024,0.1,0.0,0.0,1.0,1.0,unstable
T003,1024,0.1,0.1,0.0,1.0,1.0,unstable
T003,1024,0.1,0.25,0.0,1.0,1.0,unstable
T003,1024,0.25,0.0,0.0,1.0,1.0,unstable
T003,1024,0.25,0.1,0.0,1.0,1.0,unstable
T003,1024,0.25,0.25,0.0,1.0,1.0,unstable
T003,1024,0.5,0.0,0.9999576213076419,4.2378692358047996e-05,0.5666666666666667,unstable
T003,1024,0.5,0.1,0.0,1.0,1.0,unstable
T003,1024,0.5,0.25,0.0,1.0,1.0,unstable
T003,2048,0.1,0.0,0.0,1.0,1.0,unstable
T003,2048,0.1,0.1,0.0,1.0,1.0,unstable
T003,2048,0.1,0.25,0.0,1.0,1.0,unstable
T003,2048,0.25,0.0,0.999947300322256,5.269967774408528e-05,0.5666666666666667,unstable
T003,2048,0.25,0.1,0.0,1.0,1.0,unstable
T003,2048,0.25,0.25,0.0,1.0,1.0,unstable
T003,2048,0.5,0.0,0.9999539037119699,4.6096288030032334e-05,0.0,stable
T003,2048,0.5,0.1,0.9999571427316233,4.285726837689463e-05,0.0,stable
T003,2048,0.5,0.25,0.999956528953893,4.347104610693542e-05,0.6666666666666666,unstable
T004,512,0.1,0.0,0.0,1.0,1.0,unstable
T004,512,0.1,0.1,0.0,1.0,1.0,unstable
T004,512,0.1,0.25,0.0,1.0,1.0,unstable
T004,512,0.25,0.0,0.0,1.0,1.0,unstable
T004,512,0.25,0.1,0.0,1.0,1.0,unstable
T004,512,0.25,0.25,0.0,1.0,1.0,unstable
T004,512,0.5,0.0,0.0,1.0,1.0,unstable
T004,512,0.5,0.1,0.0,1.0,1.0,unstable
T004,512,0.5,0.25,0.0,1.0,1.0,unstable
T004,1024,0.1,0.0,0.0,1.0,1.0,unstable
T004,1024,0.1,0.1,0.0,1.0,1.0,unstable
T004,1024,0.1,0.25,0.0,1.0,1.0,unstable
T004,1024,0.25,0.0,0.0,1.0,1.0,unstable
T004,1024,0.25,0.1,0.0,1.0,1.0,unstable
T004,1024,0.25,0.25,0.0,1.0,1.0,unstable
T004,1024,0.5,0.0,0.9999565331520266,4.346684797355375e-05,0.4,unstable
T004,1024,0.5,0.1,0.0,1.0,1.0,unstable
T004,1024,0.5,0.25,0.0,1.0,1.0,unstable
T004,2048,0.1,0.0,0.0,1.0,1.0,unstable
T004,2048,0.1,0.1,0.0,1.0,1.0,unstable
T004,2048,0.1,0.25,0.0,1.0,1.0,unstable
T004,2048,0.25,0.0,0.9999461466979342,5.385330206578655e-05,0.43333333333333335,unstable
T004,2048,0.25,0.1,0.0,1.0,1.0,unstable
T004,2048,0.25,0.25,0.0,1.0,1.0,unstable
T004,2048,0.5,0.0,0.9999538158607143,4.618413928552112e-05,0.0,stable
T004,2048,0.5,0.1,0.9999566561776299,4.334382237018245e-05,0.0,stable
