theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T003,512,0.01,100,0.043026073498957006,0.9955646862891174,0.2533264852831618,1.7619688903205315,0.4404922225801329
T003,512,0.01,250,0.10501187266919555,0.9952153826891371,0.2535884629831472,4.299028664214347,1.0747571660535868
T003,512,0.05,10,0.0038366454137748495,0.994776088861213,0.2539179333540902,0.7856696199382895,0.19641740498457239
T003,512,0.05,50,0.020585774111586207,0.9954678025539342,0.2533991480845492,4.213797558914848,1.053449389728712
T003,512,0.05,100,0.04564445901486692,0.9950947632819263,0.25367892753855537,9.33732622332127,2.3343315558303175
T003,512,0.05,250,0.1467282822511002,0.9906826213294789,0.25698803400289066,29.939991827580343,7.484997956895086
T003,512,0.1,10,0.004171027374965728,0.9974657477307668,0.2519006892019248,1.7080965621462383,0.42702414053655957
T003,512,0.1,50,0.02185333411871592,0.995398414214947,0.25345118933878974,8.941352178773286,2.2353380446933215
T003,512,0.1,100,0.05510069623173659,0.9903802218764522,0.2572148335926608,22.507180166885064,5.626795041721266
T003,512,0.1,250,0.26704974976365,0.9760307520630305,0.26797693595272704,107.93594956859124,26.98398739214781
T003,512,0.25,10,0.0035428020092423684,0.9955693367357191,0.25332299744821063,3.6262231465789228,0.9065557866447307
T003,512,0.25,50,0.029067266649432773,0.989826054881762,0.2576304588386785,29.65699457083474,7.414248642708685
T003,512,0.25,100,0.11160126755832885,0.975032500943016,0.26872562429273794,112.70020165828237,28.175050414570592
T003,512,0.25,250,2.87936446459883,0.49597183410624057,0.6280211244203195,2101.945961772366,525.4864904430915
T003,1024,0.01,10,0.004062306085851986,0.9942451539136196,0.2543161345647854,0.1663886776450454,0.04159716941126135
T003,1024,0.01,50,0.021035991721655913,0.9969596361733246,0.2522802728700066,0.8615436006216441,0.21538590015541104
T003,1024,0.01,100,0.04115810938028605,0.9964020903425417,0.25269843224309385,1.6854892786627715,0.4213723196656929
T003,1024,0.01,250,0.10758431952349239,0.9963543800402951,0.2527342149697786,4.4042841433119975,1.1010710358279994
T003,1024,0.05,10,0.004168108530462565,0.9935189920737156,0.25486075594471314,0.8535396827987825,0.2133849206996956
T003,1024,0.05,50,0.019936767713535985,0.9950869046521047,0.2536848215109216,4.08101563327682,1.020253908319205
T003,1024,0.05,100,0.044722400225817555,0.9953144163207962,0.25351418775940293,9.148914718380638,2.2872286795951595
T003,1024,0.05,250,0.1474248376723929,0.9915839182771531,0.25631206129213513,30.081601168697034,7.5204002921742585
T003,1024,0.1,10,0.004111984469560013,0.9963959571687341,0.2527030321234494,1.683922601825543,0.4209806504563858
T003,1024,0.1,50,0.02250902288591518,0.9941754763504931,0.25436839273713024,9.209327237891557,2.3023318094728893
