particle_id,gap,time_s,phase_rad,energy_ev
337,rf_gap_04,1.3764000000001719e-08,0.017592918862263218,980884.9150654554
345,rf_gap_04,1.3764000000001719e-08,0.017592918862263218,983337.4385515057
433,rf_gap_04,1.3764000000001719e-08,0.017592918862263218,997608.0971267071
468,rf_gap_04,1.3764000000001719e-08,0.017592918862263218,1008335.7652054386
482,rf_gap_04,1.3764000000001719e-08,0.017592918862263218,1001348.2849967787
38,rf_gap_04,1.376600000000172e-08,0.020106192985132054,1013557.8774076975
356,rf_gap_04,1.376600000000172e-08,0.020106192985132054,998162.061315671
57,rf_gap_04,1.376800000000172e-08,0.022619467108007996,981313.4496935561
469,rf_gap_04,1.376800000000172e-08,0.022619467108007996,978468.9830590526
132,rf_gap_04,1.377000000000172e-08,0.02513274123087683,985059.293314531
97,rf_gap_04,1.3772000000001721e-08,0.027646015353752773,979383.7720600785
333,rf_gap_04,1.3772000000001721e-08,0.027646015353752773,991323.808190485
83,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,992483.7373060477
136,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,998563.0807379177
154,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,984276.1886067138
217,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,981689.8806301313
366,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,986648.080009574
368,rf_gap_04,1.3774000000001722e-08,0.03015928947662161,997400.1563236772
471,rf_gap_04,1.3776000000001723e-08,0.03267256359949755,984229.6871633696
39,rf_gap_04,1.3778000000001723e-08,0.035185837722366387,999161.2514645527
239,rf_gap_04,1.3778000000001723e-08,0.035185837722366387,993095.0435907061
371,rf_gap_04,1.3780000000001724e-08,0.03769911184524233,988569.047933543
29,rf_gap_04,1.3782000000001724e-08,0.04021238596811827,988906.3407376001
230,rf_gap_04,1.3782000000001724e-08,0.04021238596811827,985249.3251798961
243,rf_gap_04,1.3782000000001724e-08,0.04021238596811827,991159.9281973081
334,rf_gap_04,1.3782000000001724e-08,0.04021238596811827,998709.2647776274
46,rf_gap_04,1.3784000000001725e-08,0.042725660090987105,1014193.4635846955
187,rf_gap_04,1.3784000000001725e-08,0.042725660090987105,980415.54503224
265,rf_gap_04,1.3784000000001725e-08,0.042725660090987105,986167.7877562483
352,rf_gap_04,1.3784000000001725e-08,0.042725660090987105,997067.1453197318
238,rf_gap_04,1.3786000000001726e-08,0.04523893421386305,982300.833385188
182,rf_gap_04,1.3788000000001726e-08,0.04775220833673188,995959.9760105696
318,rf_gap_04,1.3788000000001726e-08,0.04775220833673188,981814.6292459494
17,rf_gap_04,1.3792000000001728e-08,0.05277875658247666,990951.2390278486
282,rf_gap_04,1.3792000000001728e-08,0.05277875658247666,987054.4274051891
51,rf_gap_04,1.3796000000001729e-08,0.05780530482822144,994854.0136065859
250,rf_gap_04,1.3796000000001729e-08,0.05780530482822144,1000227.9797900016
305,rf_gap_04,1.379800000000173e-08,0.06031857895109738,979711.287169605
213,rf_gap_04,1.380000000000173e-08,0.06283185307396622,987565.7204487958
137,rf_gap_04,1.380200000000173e-08,0.06534512719684216,994366.3693708265
205,rf_gap_04,1.380200000000173e-08,0.06534512719684216,977686.4186725416
233,rf_gap_04,1.380200000000173e-08,0.06534512719684216,971675.5458171826
242,rf_gap_04,1.380200000000173e-08,0.06534512719684216,986590.2118343681
359,rf_gap_04,1.3804000000001731e-08,0.06785840131971099,976896.8110108901
377,rf_gap_04,1.3806000000001732e-08,0.07037167544258693,1003603.4765404231
35,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,994437.5639300224
260,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,998249.776360356
287,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,1001674.9703067021
306,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,999081.1277058711
310,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,987386.8377430692
360,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,977957.5525799072
415,rf_gap_04,1.3808000000001732e-08,0.07288494956545577,995869.609746377
84,rf_gap_04,1.3810000000001733e-08,0.07539822368833171,993930.939282952
303,rf_gap_04,1.3810000000001733e-08,0.07539822368833171,1016388.4432371409
308,rf_gap_04,1.3810000000001733e-08,0.07539822368833171,987324.5388242326
