id,active,lost_reason,x_m,y_m,y_prime_rad,z_m,z_prime_rad,beta,velocity_m_s,transverse_velocity_m_s,z_transverse_velocity_m_s,momentum_kg_m_s,transverse_momentum_kg_m_s,z_transverse_momentum_kg_m_s,kinetic_energy_ev
22,True,,1.0132528507724181,-0.0002377844962354872,-0.0025712827124713318,-0.0007038203634811908,-0.0005805529937345771,0.045514379681833035,13644820.353477752,-35084.69068967431,-7921.541305181999,2.2846301664097446e-20,-5.874430051279878e-23,-1.326348882685502e-23,973355.4142583207
23,True,,1.0109728726972211,-0.0005900497849161587,0.00014777351096410506,-0.0004326878970122284,0.0018146041828268238,0.04552498774974733,13648025.358889962,2016.8166250103097,24765.763903568288,2.285167904505808e-20,3.3768728439131e-24,4.146675237977847e-23,973809.8950564585
24,True,,1.015895949448492,0.00018136118925122534,0.000999028198032535,-0.0007533159303177372,0.001990923123672351,0.04554767837498157,13654816.579816729,13641.546802199087,27185.69007826173,2.286307365174629e-20,2.2840855271789223e-23,4.551862201148575e-23,974782.3858966775
25,True,,1.0130933802132405,-4.400249710033398e-05,0.0008038730217138869,-0.00034347851160667346,-0.0006061581167034604,0.04564797246014986,13684910.93076327,11000.930701798072,-8295.219837046063,2.2913567424328863e-20,1.8419598683640128e-23,-1.3889244876888943e-23,979086.7015668605
26,True,,1.0032800215397517,0.0010932770177877575,-0.0012062092071966988,-0.00019853945199300893,-0.0006093039693981944,0.045547957794878746,13654921.755958362,-16470.69234558749,-8319.998027727193,2.286325004601674e-20,-2.7577862711945736e-23,-1.393066900638145e-23,974794.3645111193
27,True,,1.013514552702588,-0.0001904871355021071,-0.00047590071182841356,0.0001235323236591095,0.0010539659794328532,0.04559122063120012,13667894.957036754,-6504.560939249776,14405.496295178598,2.2885017061423184e-20,-1.0890995909736683e-23,2.4120029421480442e-23,976649.9163069857
28,True,,1.013162729197162,3.9408578118375044e-05,-0.0003730022230614335,0.0006123300005615799,0.001404191190423039,0.04554170013530228,13653043.815075958,-5092.615694578488,19171.48384758942,2.2860099168809238e-20,-8.526867809370674e-24,3.209994986503897e-23,974526.1189678218
29,True,,1.012517522986027,0.00015288313371496229,-0.0005614666716934876,0.0002442081491712683,-0.0019901243165303282,0.045563828847158365,13659663.042747924,-7669.4455450662135,-27184.427576983297,2.2871205236039926e-20,-1.2841419481498002e-23,-4.551654168859882e-23,975474.8712874489
30,True,,1.0071643001102952,0.0013285280163605152,-0.001623475588405632,-0.0002868806648308163,-0.0010613793715549197,0.04528004470039093,13574590.363947881,-22038.016078475706,-14407.790189602472,2.2728469293780617e-20,-3.6899115060279826e-23,-2.4123528455438163e-23,963342.99421644
31,True,,1.0064879305360737,-0.00028770590649973896,-0.0001578570777766521,-0.000639046977583005,0.0008964223395220024,0.04537867927283931,13604180.164522998,-2147.5161263186947,12195.091010360526,2.277811470932007e-20,-3.5956866252746414e-24,2.0418810877629232e-23,967551.0113464524
32,True,,1.0049371205091633,-0.00016228053443824566,0.0003049519944593172,7.232202452534995e-05,-0.00018125019749506464,0.04546111313565337,13628897.992773268,4156.159625178793,-2470.240452830245,2.2819586540604312e-20,6.958878428294276e-24,-4.1360545672402504e-24,971074.9300248686
33,True,,1.0098023494431627,-0.0010885172753253363,0.0001576936872123656,-0.0007038688883186522,0.00024469795151226524,0.04538290249966971,13605451.315057527,2145.49378405975,3329.2260661944324,2.2780247430994285e-20,3.592301213003508e-24,5.5742798813068446e-24,967731.3912865082
34,True,,1.0140692085854444,-1.209422229228818e-06,-0.0014483487171492288,-0.00047969385867589515,-0.0014583051655584036,0.045496468549028155,13639469.327594643,-19754.707903217957,-19890.508575906675,2.2837323483709043e-20,-3.307640817075195e-23,-3.3303786803821135e-23,972588.2905853321
35,True,,1.014628179109606,6.203754818957176e-05,-0.001732940031472657,0.0001864547436081399,-0.003355089345612055,0.045678300854162794,13693912.455100486,-23730.729080925645,-45944.29977785186,2.2928671102372422e-20,-3.9734012021771466e-23,-7.692774012461273e-23,980390.1795646716
