temperature,lambda,eta,mean_relative_improvement,median_relative_improvement,improvement_ci_low,improvement_ci_high,seed_consistency,standardized_effect,mean_jsd,finite_history_win_rate,shuffled_win_rate,random_win_rate,mean_best_history_k,candidate_stable,adjacent_stable_support,stable_region
0.15,0.7286,0.1,0.21940569719204034,0.12265328711856179,0.04417858395414148,0.41340410208361955,0.625,0.7534200014457809,0.13704807296098526,0.875,1.0,1.0,15.625,False,1,False
0.15,0.7286,0.175,-137177653.83050406,0.09172901266645053,-411532961.8352539,0.22920522197379462,0.75,-0.3535533901777354,0.13782102063613477,0.75,1.0,1.0,23.125,False,2,False
0.15,0.7286,0.25,-142817123.1321696,0.04343804898060817,-428451369.73992425,0.20815853297903092,0.875,-0.35355339024814375,0.12539532528595937,0.875,1.0,1.0,12.125,False,4,False
0.15,0.7286,0.325,0.20687537498021685,0.19336038732104016,0.055124711873225894,0.39495692830084117,0.875,0.7934642454245163,0.1370386152241633,0.875,1.0,1.0,15.375,True,5,True
0.15,0.7286,0.4,0.0637600063305227,0.026215569623931245,-0.05829377270202477,0.1911296206205192,0.5,0.34530483435304044,0.1235746438029452,0.625,1.0,1.0,23.0,False,5,False
0.15,0.8543,0.025,0.11980236229371061,0.06959268134027677,0.0403987326654713,0.2088150460355795,0.75,0.8741939479370989,0.11536249341824881,1.0,1.0,1.0,26.0,False,0,False
0.15,0.8543,0.1,0.14337331736268816,0.0710902060248685,0.009615879063557781,0.3119130354426892,0.75,0.5768262959104196,0.12502632439064787,0.75,1.0,1.0,21.75,False,1,False
0.15,0.8543,0.175,0.18803097496114654,0.07485205901445738,0.03684771394676792,0.3705480705236811,0.75,0.7136492096083452,0.12500978793629888,0.875,1.0,1.0,21.125,False,3,False
0.15,0.8543,0.25,0.11890950472420134,0.03153579899111458,0.014240344767834118,0.22318769773706995,0.875,0.7293107140196748,0.13633209192765589,0.875,1.0,1.0,21.0,True,5,True
0.15,0.8543,0.325,0.10815134324199785,0.08518530418338002,0.05115881147802143,0.17319965882607072,0.875,1.0943273951047863,0.1314548177707067,1.0,1.0,1.0,22.0,True,5,True
0.15,0.8543,0.4,0.21667913432538574,0.1871810897981086,0.05486679140191517,0.38833563001295957,0.875,0.803189155256218,0.13608142895894404,0.875,1.0,1.0,19.125,True,3,True
0.15,0.98,0.025,0.050662526990815075,0.06413159566122077,-0.012630163791942307,0.10521078978455796,0.75,0.5047286747409442,0.114069162898877,0.75,1.0,1.0,28.5,False,0,False
0.15,0.98,0.1,0.2143213121059377,0.21495601607316742,0.03665732290417133,0.4076835342934224,0.75,0.7350282040196331,0.0969434635750751,0.75,1.0,1.0,24.125,False,1,False
0.15,0.98,0.175,0.2972029721299887,0.12928719527018345,0.0911364384878213,0.5245562489840506,1.0,0.859321537846171,0.09592548632916914,1.0,1.0,1.0,26.125,True,2,False
0.15,0.98,0.25,0.12361852700189532,0.055215204257709836,0.02789915351278261,0.2460019206897513,0.875,0.7817439347510275,0.13540805620612886,0.875,1.0,1.0,30.0,True,4,True
0.15,0.98,0.325,0.21659666133593736,0.11490137598007674,0.08802752908942386,0.3634919589409909,0.875,1.0139527556210273,0.13045033589656077,1.0,1.0,1.0,26.0,True,4,True
0.15,0.98,0.4,-108581140.54504067,0.072758595305155,-325743421.97369015,0.22324250228074438,0.75,-0.35355339009931075,0.144488864104384,0.75,1.0,1.0,28.125,False,3,False
0.25,0.1,0.025,0.30044492672203105,0.22496878466611803,0.16280383267249285,0.4538359339903912,0.875,1.3506928685546005,0.11201277412446733,1.0,1.0,1.0,5.625,True,1,False
0.25,0.1,0.1,-462342237.3606921,0.24287107604924071,-1387026712.5669441,0.30623360265411903,0.75,-0.35355339041925765,0.10832473889217323,0.875,1.0,1.0,3.75,False,3,False
