temperature,lambda,eta,seed,full_log_loss,memoryless_log_loss,random_log_loss,shuffled_log_loss,finite_history_log_loss,best_history_k,strongest_control_log_loss,relative_improvement,paired_future_jsd,random_residue_jsd,shuffled_residue_jsd,finite_history_jsd,mean_residue_norm,beats_memoryless,beats_random,beats_shuffled,beats_finite_history
0.08,0.1,0.1,2,0.025004542269062766,2.470228046306523,3.625526051315328,3.555330782250916,0.027495061212584788,16,0.027495061212584788,0.09058059279322804,0.20127147299429574,0.2627082360055074,0.24952765394434948,0.00040044896864094585,0.33120797329267954,True,True,True,True
0.08,0.1,0.1,3,0.1395525250588684,1.584924070262118,4.373275314771126,2.911782868210838,0.15033408036600437,2,0.15033408036600437,0.07171730642105326,0.24358380847129826,0.2854275982487882,0.22848647339621636,0.003910199197715884,0.2872014345740657,True,True,True,True
0.08,0.1,0.1,4,0.26290113759576195,2.687735465032662,5.120502752475134,4.283214685525697,0.2967467180191221,2,0.2967467180191221,0.11405544987755917,0.18109658951811902,0.27711756778617586,0.24865369356435288,0.007922362709466462,0.27999321808603855,True,True,True,True
0.08,0.1,0.1,5,0.2319383085931173,2.8221221481194916,4.844081086746136,4.013192275827842,0.24902472083448174,1,0.24902472083448174,0.06861331752168175,0.19484457803117136,0.26264436358297416,0.18961329570084134,0.008949783200082297,0.2623606724473356,True,True,True,True
0.08,0.1,0.1,6,4.1647708526893926e-06,0.007673882090450562,1.5786319954667378,2.00236197772007,0.0,1,0.0,-4164770.852689393,0.0026475864346495273,0.14285221557018848,0.17203698535776268,1.443385094950758e-06,0.29555323336615974,True,True,True,False
0.08,0.1,0.1,7,0.25568279627263607,7.251139191657294,7.711112099995088,8.498041691209005,1.227833124701936,2,1.227833124701936,0.7917609558426724,0.3177925190462295,0.35055836358993087,0.34758976130878516,0.01478919713570861,0.2791599596070617,True,True,True,True
0.08,0.1,0.175,0,0.20959748846246512,2.528672642198196,5.502806730859033,3.4280838321632574,0.6766459675116953,1,0.6766459675116953,0.6902405415445819,0.1761369100498968,0.2888997861628413,0.20544634679822357,0.01900092250904694,0.46169230453145627,True,True,True,True
0.08,0.1,0.175,1,0.05047385498978643,1.0106613758606287,3.044520016549331,1.1676180640550446,0.0641606395960136,1,0.0641606395960136,0.21332057617264702,0.22922123797611818,0.2551520107186718,0.15988604602979054,0.001165244544337323,0.43985140747392093,True,True,True,True
0.08,0.1,0.175,2,0.059702814241014035,3.7886151496397744,4.476750417624462,3.0188389711088552,0.061989605851785395,32,0.061989605851785395,0.0368899201624057,0.12878640668066094,0.238163077698404,0.1948983666013624,0.0021277323662402692,0.49660328083737526,True,True,True,True
0.08,0.1,0.175,3,0.31606841202977143,1.6885097094016737,4.576114129073265,3.8957344235162914,0.36151692659257134,4,0.36151692659257134,0.1257161455513818,0.14346339039500486,0.2812598168192554,0.22741965152007346,0.012270651044435175,0.4843971698232291,True,True,True,True
0.08,0.1,0.175,4,0.2998334896403905,2.233584591010755,4.925081235492261,3.8361445969145254,0.32582972999027404,8,0.32582972999027404,0.07978474017904842,0.17712567539980711,0.27489341284987207,0.2426794210282907,0.007329405126647864,0.4873382970120774,True,True,True,True
0.08,0.1,0.175,5,0.26741872900142055,2.428879913422957,4.8517416524792,3.627247243474865,0.37172071925396116,4,0.37172071925396116,0.2805923502512139,0.1868032222868975,0.27414633854615494,0.20797682210162055,0.009083579216074758,0.4604589106643238,True,True,True,True
0.08,0.1,0.175,6,0.03707811980377949,0.197115721662443,1.6146022488886167,1.8497629926104762,0.11543983742131704,32,0.11543983742131704,0.6788100136657619,0.02262541847061331,0.1636434575476692,0.12902096949028447,0.0034391584398708423,0.48390360843095614,True,True,True,True
0.08,0.1,0.175,7,0.26715137948183754,7.621845039026809,9.368036521968753,8.452627198067246,0.947337800898582,16,0.947337800898582,0.7179977625421097,0.3196836562569578,0.3462454310260555,0.3512671123954961,0.01477823070846345,0.48158168539493496,True,True,True,True
0.08,0.1,0.25,0,0.1599422375741029,2.969444392348979,5.094216953461754,4.225070451417403,0.4823942002961125,2,0.4823942002961125,0.6684407949433802,0.18730690571225336,0.30189915314014254,0.24306406770703456,0.012019411390174482,0.656224426058826,True,True,True,True
0.08,0.1,0.25,1,0.07719702481125758,1.0080377426244829,3.1515990781384486,1.3782912376394223,0.07484504045597921,1,0.07484504045597921,-0.03142471887180961,0.22758700690635345,0.25504179411429423,0.1480964701667325,0.0011098571147819378,0.6301403765661127,True,True,True,False
0.08,0.1,0.25,2,0.015908699319361213,2.0852878975831395,3.7295496808132538,3.6011339854200224,0.024840659325218627,1,0.024840659325218627,0.35957016635180644,0.22193828840288235,0.26551776282098366,0.2705449723926497,0.001372136171680819,0.8645401980304388,True,True,True,True
0.08,0.1,0.25,3,0.2521870559203368,1.5578060088259678,4.160242469096771,3.378857066450102,0.2893943984340035,8,0.2893943984340035,0.128569670715834,0.17688243886363478,0.2672296203619537,0.21918795704883037,0.009267932731081544,0.7019509978208199,True,True,True,True
