step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
97,4.8500000000000005,0.17449434060910637,271,10.84,74,0,0.0,0,0.0,0,0.0,0.0
98,4.9,0.17604466386990908,271,10.84,74,2,0.02702702702702703,0,0.0,0,0.0,0.0
99,4.95,0.177629020224824,271,10.84,75,1,0.013333333333333334,0,0.0,0,0.0,0.0
100,5.0,0.1792602482102117,268,10.72,73,0,0.0,0,0.0,0,0.0,0.0
101,5.050000000000001,0.1809232567252632,267,10.68,77,1,0.012987012987012988,0,0.0,0,0.0,0.0
102,5.1000000000000005,0.1825629251201199,268,10.72,78,1,0.01282051282051282,0,0.0,0,0.0,0.0
103,5.15,0.18422944598439486,269,10.76,80,1,0.0125,0,0.0,0,0.0,0.0
104,5.2,0.18592342820640048,269,10.76,80,1,0.0125,0,0.0,0,0.0,0.0
105,5.25,0.18767266975646227,270,10.8,80,1,0.0125,0,0.0,0,0.0,0.0
106,5.300000000000001,0.1894529699571004,270,10.8,86,1,0.011627906976744186,0,0.0,0,0.0,0.0
107,5.3500000000000005,0.19121977571486637,271,10.84,88,1,0.011363636363636364,0,0.0,0,0.0,0.0
108,5.4,0.19301678119742716,272,10.88,87,3,0.034482758620689655,0,0.0,0,0.0,0.0
109,5.45,0.19478250808187336,273,10.92,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
110,5.5,0.19652014658786457,273,10.92,84,2,0.023809523809523808,0,0.0,0,0.0,0.0
111,5.550000000000001,0.1982855238128275,272,10.88,80,2,0.025,0,0.0,0,0.0,0.0
112,5.6000000000000005,0.20009649794679088,273,10.92,78,2,0.02564102564102564,0,0.0,0,0.0,0.0
113,5.65,0.20188521690164976,270,10.8,78,0,0.0,0,0.0,0,0.0,0.0
114,5.7,0.20363066025616403,266,10.64,81,0,0.0,0,0.0,0,0.0,0.0
115,5.75,0.2052486719469072,269,10.76,82,4,0.04878048780487805,0,0.0,0,0.0,0.0
116,5.800000000000001,0.2068376282058568,270,10.8,80,2,0.025,0,0.0,0,0.0,0.0
117,5.8500000000000005,0.2084325454179129,268,10.72,80,0,0.0,0,0.0,0,0.0,0.0
118,5.9,0.21004217815155615,270,10.8,85,4,0.047058823529411764,0,0.0,0,0.0,0.0
119,5.95,0.21168685190469114,270,10.8,84,0,0.0,0,0.0,0,0.0,0.0
120,6.0,0.21336093736255649,270,10.8,85,0,0.0,0,0.0,0,0.0,0.0
121,6.050000000000001,0.21506509843270394,270,10.8,89,1,0.011235955056179775,0,0.0,0,0.0,0.0
122,6.1000000000000005,0.21675059069545236,270,10.8,90,1,0.011111111111111112,0,0.0,0,0.0,0.0
123,6.15,0.2184416781393118,268,10.72,89,0,0.0,0,0.0,0,0.0,0.0
124,6.2,0.22007855622510442,267,10.68,90,0,0.0,0,0.0,0,0.0,0.0
125,6.25,0.22173556869871688,269,10.76,90,3,0.03333333333333333,0,0.0,0,0.0,0.0
126,6.300000000000001,0.22336407833580946,269,10.76,86,0,0.0,0,0.0,0,0.0,0.0
127,6.3500000000000005,0.22502259682282014,270,10.8,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
128,6.4,0.22670458748782005,271,10.84,85,1,0.011764705882352941,0,0.0,0,0.0,0.0
129,6.45,0.22841864564773076,270,10.8,86,0,0.0,0,0.0,0,0.0,0.0
130,6.5,0.23015586546636302,271,10.84,87,1,0.011494252873563218,0,0.0,0,0.0,0.0
131,6.550000000000001,0.2319242314847046,271,10.84,87,1,0.011494252873563218,0,0.0,0,0.0,0.0
132,6.6000000000000005,0.23373114622745084,271,10.84,86,2,0.023255813953488372,0,0.0,0,0.0,0.0
133,6.65,0.2354988475529795,273,10.92,85,2,0.023529411764705882,0,0.0,0,0.0,0.0
134,6.7,0.23729648307763482,272,10.88,84,1,0.011904761904761904,0,0.0,0,0.0,0.0
135,6.75,0.2390935120403278,276,11.04,84,5,0.05952380952380952,0,0.0,0,0.0,0.0
136,6.800000000000001,0.24087264721419505,276,11.04,79,1,0.012658227848101266,0,0.0,0,0.0,0.0
137,6.8500000000000005,0.2426472536537357,277,11.08,80,1,0.0125,0,0.0,0,0.0,0.0
138,6.9,0.24445320391475234,280,11.2,81,3,0.037037037037037035,0,0.0,0,0.0,0.0
139,6.95,0.24629570275622487,283,11.32,77,3,0.03896103896103896,0,0.0,0,0.0,0.0
140,7.0,0.24817093071353785,286,11.44,73,4,0.0547945205479452,0,0.0,0,0.0,0.0
141,7.050000000000001,0.2500612794171382,287,11.48,68,2,0.029411764705882353,0,0.0,0,0.0,0.0
142,7.1000000000000005,0.2519603530550701,288,11.52,65,3,0.046153846153846156,0,0.0,0,0.0,0.0
143,7.15,0.2538489725114309,288,11.52,62,0,0.0,0,0.0,0,0.0,0.0
144,7.2,0.2557730719697513,289,11.56,59,1,0.01694915254237288,0,0.0,0,0.0,0.0
145,7.25,0.2577331945683693,288,11.52,62,1,0.016129032258064516,0,0.0,0,0.0,0.0
146,7.300000000000001,0.25963214716721483,287,11.48,64,2,0.03125,0,0.0,0,0.0,0.0
147,7.3500000000000005,0.26148142610616837,286,11.44,65,0,0.0,0,0.0,0,0.0,0.0
148,7.4,0.2633096175318717,289,11.56,69,3,0.043478260869565216,0,0.0,0,0.0,0.0
149,7.45,0.265172192796177,291,11.64,68,2,0.029411764705882353,0,0.0,0,0.0,0.0
150,7.5,0.2670706795277296,290,11.6,67,1,0.014925373134328358,0,0.0,0,0.0,0.0
151,7.550000000000001,0.268995533879776,288,11.52,66,3,0.045454545454545456,0,0.0,0,0.0,0.0
152,7.6000000000000005,0.27083843242441497,286,11.44,64,1,0.015625,0,0.0,0,0.0,0.0
153,7.65,0.2726888772402219,285,11.4,64,1,0.015625,0,0.0,0,0.0,0.0
154,7.7,0.2745068557156752,283,11.32,64,0,0.0,0,0.0,0,0.0,0.0
155,7.75,0.276309772659307,284,11.36,64,1,0.015625,0,0.0,0,0.0,0.0
156,7.800000000000001,0.2781502185648968,284,11.36,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
157,7.8500000000000005,0.2799238799488658,284,11.36,62,0,0.0,0,0.0,0,0.0,0.0
158,7.9,0.28172470052504633,286,11.44,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
159,7.95,0.283550120897926,285,11.4,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
160,8.0,0.2853157834130011,286,11.44,59,1,0.01694915254237288,0,0.0,0,0.0,0.0
161,8.05,0.28710917950980586,285,11.4,57,0,0.0,0,0.0,0,0.0,0.0
162,8.1,0.28893197631662765,284,11.36,60,0,0.0,0,0.0,0,0.0,0.0
163,8.15,0.29076291989242414,286,11.44,62,2,0.03225806451612903,0,0.0,0,0.0,0.0
164,8.200000000000001,0.29262375810781455,285,11.4,63,1,0.015873015873015872,0,0.0,0,0.0,0.0
165,8.25,0.29444660364593095,285,11.4,64,1,0.015625,0,0.0,0,0.0,0.0
